TimeStep,TripID,Latitude,Longitude,Speed,Heading
659,1,39.980572,-82.953895,29,84.0
660,1,39.980575,-82.953735,29,84.0
661,1,39.980582,-82.953587,24,84.0
662,1,39.980602,-82.953477,21,84.0
663,1,39.980603,-82.953347,20,90.0
664,1,39.9806,-82.95325,19,90.0
665,1,39.9806,-82.95313,19,90.0
666,1,39.9806,-82.953015,21,90.0
667,1,39.9806,-82.952902,22,90.0
668,1,39.980602,-82.952782,24,84.0
669,1,39.980605,-82.952655,24,84.0
670,1,39.980615,-82.952543,26,84.0
671,1,39.980618,-82.952423,26,84.0
672,1,39.980608,-82.952305,28,90.0
673,1,39.98062,-82.95218,29,84.0
674,1,39.98063,-82.952032,30,84.0
675,1,39.980647,-82.95188,31,84.0
676,1,39.980658,-82.951718,32,84.0
677,1,39.980672,-82.951572,32,84.0
678,1,39.98068,-82.951427,32,84.0
679,1,39.980695,-82.951272,32,84.0
680,1,39.980708,-82.951107,31,84.0
681,1,39.980723,-82.950945,31,84.0
682,1,39.980735,-82.950775,32,84.0
683,1,39.980748,-82.950607,34,84.0
684,1,39.98076,-82.950433,36,84.0
685,1,39.98077,-82.950248,37,84.0
686,1,39.980778,-82.950055,39,84.0
687,1,39.980788,-82.949853,40,84.0
688,1,39.980795,-82.949652,42,84.0
689,1,39.980795,-82.949423,42,84.0
690,1,39.980793,-82.949188,42,84.0
691,1,39.980797,-82.948962,42,84.0
692,1,39.980798,-82.948735,43,84.0
693,1,39.980803,-82.94851,43,84.0
694,1,39.980803,-82.948278,44,84.0
695,1,39.980808,-82.948045,45,84.0
696,1,39.980818,-82.947813,46,84.0
697,1,39.980828,-82.947558,45,84.0
698,1,39.980837,-82.947307,45,84.0
699,1,39.980845,-82.947055,46,84.0
700,1,39.980855,-82.946808,47,84.0
701,1,39.98087,-82.946563,46,84.0
702,1,39.980883,-82.94632,45,84.0
703,1,39.980895,-82.946078,43,84.0
704,1,39.980903,-82.945837,42,84.0
705,1,39.980917,-82.945607,41,84.0
706,1,39.980927,-82.945385,39,84.0
707,1,39.980932,-82.945175,37,84.0
708,1,39.980938,-82.944968,35,84.0
709,1,39.980945,-82.94477,34,84.0
710,1,39.980953,-82.944585,31,84.0
711,1,39.980958,-82.944405,30,84.0
712,1,39.980962,-82.944233,30,84.0
713,1,39.980968,-82.944063,30,84.0
714,1,39.980977,-82.9439,30,84.0
715,1,39.980987,-82.943737,31,84.0
716,1,39.980997,-82.94357,31,84.0
717,1,39.98101,-82.943405,32,84.0
718,1,39.981028,-82.94324,31,78.0
719,1,39.981048,-82.943063,32,78.0
720,1,39.981078,-82.942902,33,78.0
721,1,39.98111,-82.942733,34,78.0
722,1,39.981152,-82.94256,35,72.0
723,1,39.981223,-82.942413,35,66.0
724,1,39.981282,-82.942248,35,66.0
725,1,39.981342,-82.942087,34,66.0
726,1,39.981405,-82.941925,35,60.0
727,1,39.981473,-82.941767,35,60.0
728,1,39.98155,-82.941618,34,60.0
729,1,39.981622,-82.941462,34,60.0
730,1,39.981693,-82.941318,32,60.0
731,1,39.981767,-82.94118,32,54.0
732,1,39.981848,-82.941055,31,54.0
733,1,39.98197,-82.940995,30,48.0
734,1,39.982063,-82.94089,30,42.0
735,1,39.982153,-82.94078,30,42.0
736,1,39.982245,-82.940673,30,42.0
737,1,39.982335,-82.940567,29,42.0
738,1,39.982423,-82.940465,25,42.0
739,1,39.982503,-82.940377,21,42.0
740,1,39.982573,-82.9403,19,36.0
741,1,39.982652,-82.940277,18,30.0
742,1,39.982712,-82.940233,17,30.0
743,1,39.982775,-82.940187,17,30.0
744,1,39.98284,-82.94014,17,30.0
745,1,39.982902,-82.940097,17,24.0
746,1,39.982957,-82.94006,16,24.0
747,1,39.983018,-82.940028,16,24.0
748,1,39.983077,-82.939995,16,24.0
749,1,39.983137,-82.939963,17,18.0
750,1,39.983198,-82.939932,17,18.0
751,1,39.983262,-82.939898,19,18.0
752,1,39.983327,-82.939865,20,18.0
753,1,39.983405,-82.939828,21,18.0
754,1,39.983482,-82.939793,21,18.0
755,1,39.98356,-82.939757,22,18.0
756,1,39.983642,-82.939722,22,18.0
757,1,39.983728,-82.939687,24,12.0
758,1,39.983822,-82.93965,25,12.0
759,1,39.983922,-82.93961,27,12.0
760,1,39.98403,-82.939568,29,12.0
761,1,39.984145,-82.939525,30,12.0
762,1,39.984267,-82.93948,31,12.0
763,1,39.984407,-82.939427,32,12.0
764,1,39.984537,-82.93938,33,12.0
765,1,39.98467,-82.939333,34,12.0
766,1,39.984805,-82.939285,35,12.0
767,1,39.984945,-82.939235,36,12.0
768,1,39.98509,-82.939183,37,12.0
769,1,39.985237,-82.93913,37,12.0
770,1,39.985387,-82.939077,39,12.0
771,1,39.985537,-82.93902,40,12.0
772,1,39.985685,-82.938968,41,12.0
773,1,39.985832,-82.938912,42,12.0
774,1,39.985995,-82.938832,43,12.0
775,1,39.98616,-82.938762,44,18.0
776,1,39.986327,-82.938695,44,18.0
777,1,39.986495,-82.938627,44,12.0
778,1,39.986663,-82.938563,45,12.0
779,1,39.98684,-82.938508,45,12.0
780,1,39.987022,-82.938453,47,12.0
781,1,39.987213,-82.938407,48,12.0
782,1,39.987413,-82.938367,49,12.0
783,1,39.987612,-82.938313,50,12.0
784,1,39.987812,-82.938262,48,12.0
785,1,39.98801,-82.938208,49,12.0
786,1,39.98821,-82.938152,50,12.0
787,1,39.988403,-82.938087,50,12.0
788,1,39.988603,-82.93802,50,12.0
789,1,39.988803,-82.937952,51,12.0
790,1,39.989007,-82.937877,51,12.0
791,1,39.989212,-82.937802,52,12.0
792,1,39.989413,-82.937723,50,12.0
793,1,39.98961,-82.937633,51,18.0
794,1,39.989807,-82.93754,52,18.0
795,1,39.990007,-82.93744,52,18.0
796,1,39.990205,-82.937338,53,18.0
797,1,39.990403,-82.937225,52,18.0
798,1,39.990598,-82.937108,53,18.0
799,1,39.990793,-82.936983,53,24.0
800,1,39.990988,-82.936855,53,24.0
801,1,39.991183,-82.936717,53,24.0
802,1,39.991377,-82.93657,53,24.0
803,1,39.991565,-82.936432,52,24.0
804,1,39.99175,-82.936283,52,30.0
805,1,39.991933,-82.936135,52,30.0
806,1,39.992113,-82.935983,52,30.0
807,1,39.992293,-82.935832,52,30.0
808,1,39.99247,-82.935677,52,30.0
